TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AgeGroup,TransactionSize,Target
-0.9705457776964131,1.0,36.0,0.0,1.4198617381496486,0.0,-0.5483933775337999,-0.2046294076264745,-0.000315129767123,0,2,2
0.2689630980830924,1.0,15.0,0.0,1.307715254857371,0.0,0.3079597138762569,-0.2046294076264745,2.2183807457903577,0,0,3
-0.5865256317280008,1.0,23.0,2.0,-1.439873585803431,3.0,-0.9052071656213236,-0.2046294076264745,-1.0240913595486316,1,2,1
-0.3872937895103424,1.0,33.0,2.0,-1.0473608942804593,3.0,-1.347656262849853,-0.2046294076264745,0.8866936524759148,1,2,2
-0.7033745424531488,1.0,28.0,0.0,-1.4959468274495695,3.0,0.7504088111047863,-0.2046294076264745,-1.111505416232241,1,2,1
-0.9945384802208213,1.0,39.0,0.0,-0.4305552361729324,0.0,0.279414610829255,-0.2046294076264745,2.1049146470276483,1,2,2
-0.4320619134788525,1.0,16.0,1.0,1.251642013211232,2.0,2.448842442401399,-0.2046294076264745,-0.5945803508242731,0,2,3
-0.6551837790375048,1.0,11.0,1.0,0.354470146873011,1.0,-0.4770306199162951,-0.2046294076264745,1.0216828999591487,0,2,3
1.773966115776767,1.0,26.0,0.0,0.5787631134575663,0.0,0.008236131882737,-0.2046294076264745,-1.049871411431692,0,0,1
-0.9579162381364896,1.0,0.0,2.0,0.4105433885191498,1.0,-0.8623895110508207,-0.2046294076264745,0.6379149971290198,0,2,0
-0.3684008197621637,1.0,22.0,2.0,-1.3277271025111534,3.0,0.7646813626282872,-0.2046294076264745,-0.9197959490938808,1,2,1
0.6737928918900782,1.0,23.0,1.0,-1.159507377572737,3.0,-0.1202168318287714,-0.2046294076264745,-0.8963919625082934,1,0,1
1.6569118466847907,1.0,22.0,0.0,-1.0473608942804593,3.0,0.0510537864532398,-0.2046294076264745,-1.2634068088295642,1,0,1
-0.4472242062296552,1.0,21.0,2.0,-1.4959468274495695,3.0,0.2080518532117503,-0.2046294076264745,-1.235119828441502,1,2,3
0.5742967631618986,1.0,10.0,0.0,-0.4866284778190712,1.0,0.1366890955942455,-0.2046294076264745,-0.4228416355328183,1,0,0
0.8835322372104373,1.0,2.0,1.0,-1.439873585803431,3.0,0.550593089775773,-0.2046294076264745,-1.021805102334756,1,0,0
0.6683508951691355,1.0,8.0,2.0,-0.3184087528806547,1.0,1.635307005561845,-0.2046294076264745,-0.0008899015021489,1,0,0
-0.954835862634069,1.0,0.0,1.0,0.8030560800421215,2.0,-0.1915795894462762,-0.2046294076264745,0.7274279970235721,0,2,0
-0.7741204998254043,1.0,8.0,2.0,-1.4959468274495695,3.0,0.7075911565342834,-0.2046294076264745,0.3733840039190698,1,2,0
-0.8157397955025515,1.0,20.0,1.0,1.4759349797957872,2.0,-1.1621130930443406,-0.2046294076264745,0.1635666611821468,0,2,3
-0.7252109821258625,1.0,19.0,1.0,-0.3744819945267935,0.0,-0.3771227592517885,-0.2046294076264745,1.0347820504382,1,2,3
-0.8401089883661441,1.0,1.0,2.0,-0.3184087528806547,1.0,0.008236131882737,-0.2046294076264745,0.9908376721611724,1,2,0
0.1649148588902247,1.0,13.0,2.0,-1.2716538608650143,3.0,0.3222322653997578,-0.2046294076264745,-0.9522064034917048,1,0,3
-0.5206398223706753,1.0,33.0,2.0,-1.3277271025111534,3.0,-0.3343051046812856,-0.2046294076264745,-0.8166064610400058,1,2,2
-0.9931351980474964,1.0,15.0,2.0,1.1394955299189544,2.0,2.234754169548885,-0.2046294076264745,-0.3794438035931144,0,2,3
-0.1736184088257792,1.0,24.0,0.0,-1.2155806192188758,3.0,0.550593089775773,-0.2046294076264745,-1.1393023010783838,1,2,1
-0.8807699449980937,1.0,25.0,1.0,-0.4305552361729324,1.0,-0.3485776562047866,-0.2046294076264745,-0.6227339020595613,1,2,1
-0.5825553699693257,1.0,19.0,2.0,-0.0380425446499606,0.0,1.10722259919231,-0.2046294076264745,-0.8573793309934081,1,2,3
-0.8265211097610229,1.0,11.0,1.0,-0.9912876526343204,3.0,2.334662030213392,-0.2046294076264745,-0.9652439712848602,1,2,3
-0.9218758447581704,1.0,24.0,2.0,0.8030560800421215,0.0,-1.4190190204673576,-0.2046294076264745,0.8264991429581763,0,2,1
-0.8164243233919781,1.0,3.0,0.0,-0.8791411693420429,0.0,1.9635756906023667,-0.2046294076264745,1.2086120111048604,1,2,0
0.3381346413096664,1.0,27.0,0.0,0.2423236635807333,1.0,0.6933186050107825,-0.2046294076264745,1.1743592080206586,0,0,1
1.985656365581992,1.0,20.0,2.0,-1.2716538608650143,3.0,0.4364126775877655,-0.2046294076264745,-1.2096990088928328,1,0,3
-0.1451078222311547,1.0,37.0,1.0,0.0180306969961781,0.0,-0.9908424747623292,-0.2046294076264745,2.4895908944747385,0,2,2
-0.5917622700821156,1.0,39.0,1.0,0.2423236635807333,1.0,-1.062205232379834,-0.2046294076264745,0.1671153634568828,0,2,2
-0.7513599475019647,1.0,25.0,1.0,-1.0473608942804593,3.0,0.3650499199702607,-0.2046294076264745,-1.080988629425708,1,2,1
1.7032886111934535,1.0,23.0,0.0,1.1955687715650931,0.0,-0.4199404138222913,-0.2046294076264745,0.7188346463958853,0,0,1
0.1299697101349887,1.0,28.0,2.0,0.5787631134575663,2.0,1.378401078138828,-0.2046294076264745,-1.0505103317978597,0,0,1
0.1054636116935108,1.0,35.0,0.0,1.0273490466266768,2.0,-0.0060364196407638,-0.2046294076264745,-0.2026527421129719,0,0,2
-0.9023325735150366,1.0,30.0,2.0,-0.3744819945267935,0.0,-1.4332915719908583,-0.2046294076264745,2.3352775133465027,1,2,1
-0.1924771521794865,1.0,5.0,2.0,0.6909095967498439,0.0,-0.0488540742112667,-0.2046294076264745,2.115257972312869,0,2,0
-0.8294303532910866,1.0,40.0,0.0,-1.439873585803431,3.0,-0.0345815226877657,-0.2046294076264745,-1.2500382340997198,1,2,2
